PARTY,SYMBOL
VCK,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Viduthalai_Chiruthaigal_Katchi_banner.png/250px-Viduthalai_Chiruthaigal_Katchi_banner.png
RSP,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/RSP-flag.svg/1200px-RSP-flag.svg.png
AAP,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Aam_Aadmi_Party_logo_%28English%29.svg/1200px-Aam_Aadmi_Party_logo_%28English%29.svg.png
NPF,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_the_Naga_People%27s_Front.png/180px-Flag_of_the_Naga_People%27s_Front.png
NPEP,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Indian_Election_Symbol_Book.svg/1200px-Indian_Election_Symbol_Book.svg.png
NDPP,https://pbs.twimg.com/profile_images/951814020020891649/3W9q_mNl_400x400.jpg
MNF,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/5e24c5fc-2dfd-4dc1-b774-36beef4e19c3/de00mpd-ec766b4b-eb24-4371-a614-15eea0570dc1.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzVlMjRjNWZjLTJkZmQtNGRjMS1iNzc0LTM2YmVlZjRlMTljM1wvZGUwMG1wZC1lYzc2NmI0Yi1lYjI0LTQzNzEtYTYxNC0xNWVlYTA1NzBkYzEuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.nLc5JJrlc5UmNV88vnn6PgwX6yTTMLcnLTit1UVQ80s
KEC(M),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Indian_election_symbol_two_leaves.svg/200px-Indian_election_symbol_two_leaves.svg.png
JD(S),https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Indian_election_symbol_female_farmer.svg/1200px-Indian_election_symbol_female_farmer.svg.png
AJSUP,https://in.opencampaign.com/image/cache/avatar/ajsu-opencampaign-16926-1503399548-cr-168x168.jpg
AIUDF,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Indian_Election_Symbol_Lock_And_Key.svg/1200px-Indian_Election_Symbol_Lock_And_Key.svg.png
AIADMK,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Indian_Election_Symbol_Two_Leaves.svg/1200px-Indian_Election_Symbol_Two_Leaves.svg.png
JMM,https://images.news18.com/static_news18/pix/ibnhome/news18/assembly_jh_2019/og_images/jharkhand-mukti-morcha.jpg
